precursor,fragment,ion,standard_ion,CTRL_p1_1,CTRL_p1_2,CTRL_p1_3,Lyso0min_p1_1,Lyso0min_p1_2,Lyso0min_p1_3,Lyso10min_p1_1,Lyso10min_p1_2,Lyso10min_p1_3,Lyso20min_p1_1,Lyso20min_p1_2,Lyso20min_p1_3,Lyso5min_p1_1,Lyso5min_p1_2,Lyso5min_p1_3
780.55,184.105,PC36:5,DLPC,1767.935,1888.995,1592.175,1690.58,1396.34,1558.13,1360.84,1459.16,1464.06,1424.38,1392.73,1284.34,1729.375,1520.575,1542.715
780.59,639.605,PE(O-)40:5,PE31:1,251.515,236.235,232.8,278.285,214.27,243.04,267.015,253.255,276.62,267.01,245.24,251.97,294.165,248.58,241.22
782.57,184.105,PC36:4,DLPC,4710.79,5133.505,4390.095,4505.315,3973.35,4017.145,3602.205,4129.29,4036.29,3932.17,2941.73,3801.47,4697.66,4196.295,4250.44
782.61,641.625,PE(O-)40:4,PE31:1,108.565,115.4,130.635,139.785,98.855,116.63,120.995,122.67,136.16,196.265,115.61,119.66,143.12,124.11,106.065
784.59,184.105,PC36:3,DLPC,9414.925,9636.92,8550.445,9364.345,8035.23,8591.695,7852.775,9411.575,8920,8698.175,8663.46,8427.54,9982.945,8942.7,9221.47
784.62,643.635,PE(O-)40:3,PE31:1,83.56,92.385,125.395,124.225,88.4,90.93,92.515,94.205,103.75,159.31,94.04,99.97,127.04,107.905,85.905
786.6,184.105,PC36:2,DLPC,110196.945,114396.58,91765.475,111899.3,98634.68,104785.15,97740.45,116071.435,106827.82,110547.985,92070.06,117057.98,122127.72,109436.53,108466.695
786.64,645.655,PE(O-)40:2,PE31:1,137.9,162.46,161.15,184.845,151.11,157.355,162.61,145.115,208.63,293.1,153.71,153.65,163.465,192.755,160.08
788.62,184.105,PC36:1,DLPC,18205.995,18611.77,16019.68,19357.38,16294.36,17900.045,16651.5,19358.035,20362.68,19295.205,21544.32,19673.42,21469.875,18196.73,18624.8
788.65,647.665,PE(O-)40:1,PE31:1,237.36,289.61,231.46,314.255,285.66,305.02,312.685,259.065,333.51,490.8,234.55,261.16,295.99,350.485,297.985
790.63,184.105,PC36:0,DLPC,1147.51,1116.83,1090.515,1130.82,953.645,1078.155,980.45,1089.215,1111.93,1134.485,935.98,1156.05,1315.715,1062.635,1055.42
790.67,649.685,PE(O-)40:0,PE31:1,2814.73,3077.52,2593.535,2888.265,2787.62,2878.65,2866.085,2853.825,3223.18,3197.14,2285.04,2689.23,3144.89,3134.05,2970.13
