precursor,fragment,ion,standard_ion,CTRL_n1_1,CTRL_n1_2,CTRL_n1_3,Lyso0min_n1_1,Lyso0min_n1_2,Lyso0min_n1_3,Lyso10min_n1_1,Lyso10min_n1_2,Lyso10min_n1_3,Lyso20min_n1_1,Lyso20min_n1_2,Lyso20min_n1_3,Lyso5min_n1_1,Lyso5min_n1_2,Lyso5min_n1_3
748.99,279.265,CL76:11_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748.99,281.285,CL76:11_C18:1,CL56:0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0
748.99,327.265,CL76:11_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748.99,329.285,CL76:11_C22:5,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749.42,241.045,PI28:2,PI31:1,5.895,13.565,7.54,9.2,8.77,7.535,7.56,7.415,8.225,8.43,9.4,4.395,8.37,9.22,8.04
750,279.265,CL76:10_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,281.285,CL76:10_C18:1,CL56:0,0.6,0.375,0.235,0,0,0.28,0,0,0,0,0,0,0,0,0
750,303.265,CL76:10_C20:4,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,305.285,CL76:10_C20:3,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,327.265,CL76:10_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,329.285,CL76:10_C22:5,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750.43,663.435,PS34:6,PS31:1,7.105,3.615,4.7,4.135,4.165,5.955,4.58,5.2,5.34,4.26,3.91,3.605,3.16,4.465,4.885
751.01,279.265,CL76:9_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751.01,281.285,CL76:9_C18:1,CL56:0,0.84,1.505,0.705,0,0,1.495,1.17,0.605,0.355,1.285,0.65,0,0.955,0.26,0
751.01,283.295,CL76:9_C18:0,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751.01,303.265,CL76:9_C20:4,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751.01,309.315,CL76:9_C20:1,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751.01,327.265,CL76:9_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751.44,241.045,PI28:1,PI31:1,26.89,38.055,30.35,37.22,27.26,41.44,43.12,31.25,36.19,36.86,43.72,28.97,59.565,36.95,39.46
752.45,665.455,PS34:5,PS31:1,0.1,0.355,0.355,0.405,0.505,0.12,0.095,0.23,0.33,0.515,0.34,0.25,0.21,0.19,0.085
753.46,241.045,PI28:0,PI31:1,2.4,6.235,3.965,3.675,4.075,6.015,3.525,5.125,8.355,4.585,6.01,8.44,5.14,7.495,6.905
754.47,667.465,PS34:4,PS31:1,21.19,18.9,16.275,16.375,22.26,20.335,19.155,23.41,20.87,19.37,15.115,18.445,18.79,23.455,20.33
755.41,241.045,PI(O-)30:6,PI31:1,13.425,33.425,20.095,36.32,18.775,23.04,28.905,27.02,25.5,35.525,28.215,27.515,30.58,38.24,34.295
756.48,669.485,PS34:3,PS31:1,14.86,10.71,12.54,16.11,15.675,11.805,13.305,14.495,12.58,11.71,10.08,11.985,12.305,11.25,14.69
757.43,241.045,PI(O-)30:5,PI31:1,4.145,10.155,5.405,8.475,6.875,4.615,6.39,5.52,4.015,9.31,6.03,4.93,8.125,6.34,6.99
758.5,671.505,PS34:2,PS31:1,1085.965,1001.51,895.9,922.18,938.125,888.305,968.555,922.305,943.69,952.635,893.245,898.315,1006.53,917.685,945.255
758.98,277.255,CL78:15_C18:3,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758.98,279.265,CL78:15_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758.98,303.265,CL78:15_C20:4,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758.98,327.265,CL78:15_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759.44,241.045,PI(O-)30:4,PI31:1,2.09,2.585,3.275,4.815,2.215,2.665,2.895,2.405,3.76,3.34,3.91,3.435,3.71,2.98,5.54
759.99,279.265,CL78:14_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759.99,303.265,CL78:14_C20:4,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759.99,327.265,CL78:14_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760.51,673.515,PS34:1,PS31:1,16983.57,16682.475,13797.145,14209.95,14002.73,14478.92,14401.4,13741.345,14422.5,15504.195,14290.245,14840.305,16110.84,14759.74,14000.715
760.99,279.265,CL78:13_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760.99,305.285,CL78:13_C20:3,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760.99,327.265,CL78:13_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761.46,241.045,PI(O-)30:3,PI31:1,1.57,3.105,1.265,2.53,1.235,0.81,0.775,1.005,1.045,3.765,1.905,1.17,1.325,1.055,0.685
762,279.265,CL78:12_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,281.285,CL78:12_C18:1,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,305.285,CL78:12_C20:3,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,307.295,CL78:12_C20:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,327.265,CL78:12_C22:6,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762.53,675.535,PS34:0,PS31:1,1004.485,883.745,853.075,933.98,876.985,829.895,840.38,791.375,857.98,853.475,813.845,808.18,925.47,861.355,795.935
763.48,241.045,PI(O-)30:2,PI31:1,13.43,15.01,13.015,10.38,14.635,14.7,14.55,9.715,14.075,15.165,16.615,12.78,15.245,16.325,13.01
764.49,677.485,PS(O-)36:6,PS31:1,10.655,9.95,10.31,13.805,14.43,11.685,11.575,10.4,11.25,11.99,12.635,12.44,10.34,9.765,13.565
765.49,241.045,PI(O-)30:1,PI31:1,93.585,131.725,101.75,139.485,101.06,125.81,134.045,108.285,124.47,141.655,144.38,99.375,189.11,128.865,136.225
766.5,679.505,PS(O-)36:5,PS31:1,1.525,1.715,2.625,1.525,1.545,1.465,1.23,1.735,1.14,0.745,1.095,0.73,1.57,1.615,1.37
767.51,241.045,PI(O-)30:0,PI31:1,8.495,8.2,5.1,7.095,4.985,9.775,3.165,4.92,5.41,6.055,5.53,6.395,7.17,8.46,5.015
768.52,681.525,PS(O-)36:4,PS31:1,4.165,4.94,5.345,5.74,5.715,3.315,5.33,3.705,7.45,5.92,6.065,3.935,4.35,4.755,4.57
769.39,241.045,PI30:6,PI31:1,1.24,3.305,1.32,1.31,1.715,1.035,0.8,2.76,1.32,0.835,1.62,0.76,2.105,1.385,1.205
770.53,683.535,PS(O-)36:3,PS31:1,13.24,11.855,10.77,11.475,10.42,12.425,14.195,12.95,12.94,12.615,12.34,11.97,12.46,15.5,13.42
771.41,241.045,PI30:5,PI31:1,1.645,1.775,1.09,0.6,1.875,2.1,1.3,0.725,1.44,1.56,2.57,1.65,1.905,1.955,1.475
771.99,279.265,CL80:14_C18:2,CL56:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
